,mdd,mdd,mdd,cdar_95,cdar_95,cdar_95,dd_q95,dd_q95,dd_q95,calmar,calmar,calmar,sharpe,sharpe,sharpe,sortino,sortino,sortino,cagr,cagr,cagr,vol_annualised,vol_annualised,vol_annualised,cvar_95,cvar_95,cvar_95,cvar_99,cvar_99,cvar_99,turnover_mean,turnover_mean,turnover_mean
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V0,0.128268654977111,0.06396208010906704,195,0.1109697420483828,0.0606311878565821,195,0.09854378320359551,0.05945230358843418,195,0.5635043182817782,1.5322918272724053,195,0.1778693472394968,0.8759214509884083,195,0.23581282762142824,1.2621087762980776,195,0.01874728271521886,0.15605750682092726,195,0.14660368615039973,0.047055033914154484,195,0.02103530700757015,0.006354273193950152,195,0.0314021744437285,0.012054572736556012,195,0.6175051678774486,0.03840834497641665,195
V1,0.12290797224278475,0.061163328709769746,195,0.10549065903141645,0.05737577370440377,195,0.0931378919272585,0.05590676806684895,195,0.7592791330865595,1.535695482493305,195,0.3240435941929429,0.8713443758604579,195,0.45098182464482034,1.2598367548522693,195,0.03991096130151349,0.1558662220300587,195,0.145722520623763,0.04750304808084532,195,0.02081629614312572,0.006399661331981182,195,0.03123810512282827,0.012069163533900052,195,0.5193607148532046,0.04255256608704613,195
V2,0.11734273324212417,0.05974651523567573,195,0.09998761831727229,0.05568751301704973,195,0.08781469691415072,0.05390902540362504,195,1.0745961830176838,1.817438427716145,195,0.4846070250102874,0.8875683010671052,195,0.6661170513705809,1.265803270275759,195,0.06086852983824597,0.15602102018136857,195,0.14519710808227948,0.047351989997047136,195,0.02069128140687507,0.006392024279696372,195,0.03116359203070171,0.01201809534363395,195,0.4504413778095551,0.02726210200115473,195
V3,0.11725784565910205,0.05962638438211511,195,0.09980291978187693,0.05542489589527316,195,0.08760970785844435,0.05351294574740684,195,1.1050138244712062,1.8535342759580549,195,0.5021287532176217,0.889978632425754,195,0.6963670544853772,1.2790361946506164,195,0.06378959165030629,0.15813074522302203,195,0.14523160793871578,0.04743485076110635,195,0.02066730280300494,0.00636404187193751,195,0.031073231312840878,0.011997616840179515,195,0.43343974615917436,0.030518081103090865,195
V4,0.11577207089195592,0.05894079157343709,195,0.09861184240176953,0.05477680499919948,195,0.08652065542564762,0.053080265146409865,195,1.1531398964411146,1.8922805676939125,195,0.5231720497016219,0.8874055526031404,195,0.7201494204265695,1.2626057748255386,195,0.06629587024542528,0.15684336316224412,195,0.14508200129523052,0.047081536535570886,195,0.02066869004010422,0.0063492957472186876,195,0.031074913993338924,0.012014818654166993,195,0.43421584429922266,0.02927927646816112,195
